Rank,Player,Nation,Position,Squad,Competition,Age,Year_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A
2170,Nemanja Radonjic,rs SRB,"MF,DF",Mallorca,es La Liga,27,1996,11,4,353,3.9,0,0,0
2171,Aleksandar Radovanovic,rs SRB,DF,Almeria,es La Liga,29,1993,9,8,569,6.3,0,0,0
2172,Ionut Radu,ro ROU,GK,Bournemouth,eng Premier League,26,1997,2,2,180,2,0,0,0
2173,Boris Radunovic,rs SRB,GK,Cagliari,it Serie A,27,1996,7,7,630,7,0,0,0
2174,Hamza Rafia,tn TUN,MF,Lecce,it Serie A,24,1999,28,17,1204,13.4,1,0,1
2175,Abdellah Raihani,ma MAR,FW,Atletico Madrid,es La Liga,19,2004,1,0,10,0.1,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2176,Antonio Raillo,es ESP,DF,Mallorca,es La Liga,31,1991,26,25,2195,24.4,3,2,5
2177,Luca Raimund,de GER,"FW,MF",Stuttgart,de Bundesliga,18,2005,3,0,30,0.3,0,0,0
2178,Predrag Rajkovic,rs SRB,GK,Mallorca,es La Liga,27,1995,36,36,3240,36,0,0,0
2179,Jesurun Rak Sakyi,eng ENG,"MF,FW",Crystal Palace,eng Premier League,20,2002,6,0,136,1.5,0,0,0
2180,Ivan Rakitic,hr CRO,MF,Sevilla,es La Liga,35,1988,18,16,1425,15.8,2,1,3
2181,Ylber Ramadani,al ALB,MF,Lecce,it Serie A,27,1996,34,34,2970,33,1,0,1
2182,Largie Ramazani,be BEL,"FW,MF",Almeria,es La Liga,22,2001,29,16,1555,17.3,3,5,8
2183,Benito Ramirez,es ESP,"FW,MF",Las Palmas,es La Liga,28,1995,20,2,384,4.3,1,1,2
2184,Sandro Ramirez,es ESP,FW,Las Palmas,es La Liga,28,1995,27,21,1808,20.1,1,3,4
2185,Chris Ramos,es ESP,"FW,MF",Cadiz,es La Liga,26,1997,37,30,2612,29,5,1,6
2186,Goncalo Ramos,pt POR,FW,Paris S-G,fr Ligue 1,22,2001,29,16,1419,15.8,11,1,12
2187,Sergio Ramos,es ESP,DF,Sevilla,es La Liga,37,1986,28,28,2517,28,3,0,3
2188,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,25,1998,6,6,540,6,0,0,0
2189,Aaron Ramsey,eng ENG,"MF,FW",Burnley,eng Premier League,20,2003,14,5,527,5.9,0,0,0
2190,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,eng Premier League,22,2001,16,8,853,9.5,1,1,2
2191,Luca Ranieri,it ITA,DF,Fiorentina,it Serie A,24,1999,26,23,2065,22.9,2,1,3
2192,Filippo Ranocchia,it ITA,"MF,DF",Empoli,it Serie A,22,2001,9,5,476,5.3,0,0,0
2193,Grant Ranos,am ARM,"MF,FW",Gladbach,de Bundesliga,20,2003,9,0,49,0.5,0,0,0
2194,Raphinha,br BRA,"FW,MF",Barcelona,es La Liga,26,1996,28,17,1368,15.2,6,9,15
2195,Nicolai Rapp,de GER,DF,Werder Bremen,de Bundesliga,26,1996,2,1,76,0.8,0,0,0
2196,Elba Rashani,xk KVX,"MF,FW",Clermont Foot,fr Ligue 1,30,1993,24,14,1175,13.1,2,0,2
2197,Marcus Rashford,eng ENG,FW,Manchester Utd,eng Premier League,25,1997,33,26,2271,25.2,7,2,9
2198,Giacomo Raspadori,it ITA,"FW,MF",Napoli,it Serie A,23,2000,37,14,1584,17.6,5,3,8
2199,Andrei Ratiu,ro ROU,"DF,MF",Rayo Vallecano,es La Liga,25,1998,12,6,630,7,0,0,0
2200,Raul,es ESP,FW,Osasuna,es La Liga,22,2000,35,13,1355,15.1,6,1,7
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2201,David Raum,de GER,DF,RB Leipzig,de Bundesliga,25,1998,31,31,2739,30.4,2,8,10
2202,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,23,1999,6,6,535,5.9,0,0,0
2203,David Raya,es ESP,GK,Arsenal,eng Premier League,27,1995,32,32,2880,32,0,0,0
2204,Tim Ream,us USA,DF,Fulham,eng Premier League,35,1987,18,17,1503,16.7,1,0,1
2205,Abderrahman Rebbach,dz ALG,"FW,MF",Alaves,es La Liga,24,1998,23,6,722,8,1,0,1
2206,Nathan Redmond,eng ENG,"FW,MF",Burnley,eng Premier League,29,1994,12,0,142,1.6,0,0,0
2207,Harrison Reed,eng ENG,MF,Fulham,eng Premier League,28,1995,27,15,1325,14.7,0,2,2
2208,Sergio Reguilon,es ESP,DF,Manchester Utd,eng Premier League,26,1996,9,4,412,4.6,0,0,0
2209,Sergio Reguilon,es ESP,DF,Brentford,eng Premier League,26,1996,16,14,1118,12.4,0,4,4
2210,Bobby Reid,jm JAM,FW,Fulham,eng Premier League,30,1993,33,17,1423,15.8,6,2,8
2211,Tijjani Reijnders,nl NED,MF,Milan,it Serie A,25,1998,36,33,2820,31.3,3,3,6
2212,Pepe Reina,es ESP,GK,Villarreal,es La Liga,40,1982,2,2,180,2,0,0,0
2213,Reinier,br BRA,"MF,FW",Frosinone,it Serie A,21,2002,22,13,1059,11.8,2,2,4
2214,Rocco Reitz,de GER,MF,Gladbach,de Bundesliga,21,2002,34,24,2136,23.7,6,3,9
2215,Alex Remiro,es ESP,GK,Real Sociedad,es La Liga,28,1995,37,37,3275,36.4,0,0,0
2216,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,18,2005,34,34,3060,34,0,0,0
2217,Mateo Retegui,it ITA,FW,Genoa,it Serie A,24,1999,29,26,2216,24.6,7,2,9
2218,Marco Reus,de GER,"MF,FW",Dortmund,de Bundesliga,34,1989,26,18,1601,17.8,6,8,14
2219,Elvis Rexhbecaj,de GER,MF,Augsburg,de Bundesliga,25,1997,25,24,1985,22.1,2,0,2
2220,Gio Reyna,us USA,"FW,MF",Nott'ham Forest,eng Premier League,20,2002,9,2,235,2.6,0,1,1
2221,Gio Reyna,us USA,"MF,FW",Dortmund,de Bundesliga,20,2002,11,1,280,3.1,0,0,0
2222,Chadi Riad,ma MAR,DF,Betis,es La Liga,20,2003,26,24,2164,24,0,0,0
2223,Alexsandro Ribeiro,br BRA,DF,Lille,fr Ligue 1,23,1999,29,24,2220,24.7,0,0,0
2224,Rodrigo Ribeiro,pt POR,"MF,FW",Nott'ham Forest,eng Premier League,18,2005,4,0,17,0.2,0,0,0
2225,Samuele Ricci,it ITA,MF,Torino,it Serie A,21,2001,32,28,2395,26.6,1,2,3
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2226,Declan Rice,eng ENG,MF,Arsenal,eng Premier League,24,1999,38,37,3225,35.8,7,8,15
2227,Chris Richards,us USA,"DF,MF",Crystal Palace,eng Premier League,23,2000,26,23,2094,23.3,1,1,2
2228,Amir Richardson,ma MAR,MF,Reims,fr Ligue 1,21,2002,28,14,1352,15,3,1,4
2229,Richarlison,br BRA,FW,Tottenham,eng Premier League,26,1997,28,18,1491,16.6,11,4,15
2230,Marco Richter,de GER,"MF,FW",Mainz 05,de Bundesliga,25,1997,20,7,717,8,1,0,1
2231,Diego Rico,es ESP,DF,Getafe,es La Liga,30,1993,32,28,2535,28.2,0,7,7
2232,Clemens Riedel,de GER,DF,Darmstadt 98,de Bundesliga,20,2003,14,9,755,8.4,0,0,0
2233,Fabian Rieder,ch SUI,MF,Rennes,fr Ligue 1,21,2002,15,2,365,4.1,1,0,1
2234,Jairo Riedewald,nl NED,"MF,FW",Crystal Palace,eng Premier League,26,1996,9,2,235,2.6,0,0,0
2235,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,34,1988,33,33,2970,33,0,0,0
2236,Luis Rioja,es ESP,"FW,MF",Alaves,es La Liga,29,1993,37,31,2498,27.8,5,4,9
2237,Remy Riou,fr FRA,GK,Lyon,fr Ligue 1,35,1987,3,3,270,3,0,0,0
2238,Rodrigo Riquelme,es ESP,"DF,MF",Atletico Madrid,es La Liga,23,2000,34,17,1528,17,3,5,8
2239,Alberto Risco,es ESP,MF,Getafe,es La Liga,17,2005,4,1,137,1.5,0,0,0
2240,Mihailo Ristic,rs SRB,"DF,MF",Celta Vigo,es La Liga,27,1995,12,9,808,9,0,0,0
2241,Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,eng Premier League,33,1989,13,0,128,1.4,1,0,1
2242,Gorka Rivera Alonso,es ESP,DF,Getafe,es La Liga,18,2004,1,0,3,0,0,0,0
2243,Sergi Roberto,es ESP,"MF,DF",Barcelona,es La Liga,31,1992,14,10,860,9.6,3,2,5
2244,Lucas Robertone,ar ARG,MF,Almeria,es La Liga,26,1997,33,29,2381,26.5,0,5,5
2245,Connor Roberts,wls WAL,DF,Burnley,eng Premier League,27,1995,14,8,823,9.1,0,1,1
2246,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,29,1994,23,18,1693,18.8,3,2,5
2247,Antonee Robinson,us USA,DF,Fulham,eng Premier League,25,1997,37,37,3265,36.3,0,6,6
2248,Jack Robinson,eng ENG,DF,Sheffield Utd,eng Premier League,29,1993,34,31,2885,32.1,1,1,2
2249,Marc Roca,es ESP,MF,Betis,es La Liga,26,1996,26,24,1980,22,2,2,4
2250,Sebastian Rode,de GER,MF,Eint Frankfurt,de Bundesliga,32,1990,8,1,61,0.7,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2251,Sergio Rodelas,es ESP,"FW,DF",Granada,es La Liga,18,2004,3,2,122,1.4,0,1,1
2252,Rodri,es ESP,MF,Manchester City,eng Premier League,27,1996,34,34,2931,32.6,8,9,17
2253,Rodri,es ESP,"FW,MF",Betis,es La Liga,23,2000,29,9,1051,11.7,0,0,0
2254,Oscar Rodriguez Arnaiz,es ESP,"MF,FW",Getafe,es La Liga,25,1998,24,9,967,10.7,2,1,3
2255,Damian Rodriguez,es ESP,MF,Celta Vigo,es La Liga,20,2003,5,3,258,2.9,0,2,2
2256,Dani Rodriguez,es ESP,MF,Mallorca,es La Liga,35,1988,36,31,2615,29.1,2,4,6
2257,Guido Rodriguez,ar ARG,MF,Betis,es La Liga,29,1994,24,22,1846,20.5,2,0,2
2258,Jay Rodriguez,eng ENG,FW,Burnley,eng Premier League,34,1989,21,7,822,9.1,2,1,3
2259,Kirian Rodriguez,es ESP,MF,Las Palmas,es La Liga,27,1996,37,36,3211,35.7,6,2,8
2260,Miguel Rodriguez,es ESP,MF,Celta Vigo,es La Liga,20,2003,15,2,300,3.3,0,0,0
2261,Ricardo Rodriguez,ch SUI,DF,Torino,it Serie A,30,1992,35,34,2772,30.8,1,2,3
2262,Rodrygo,br BRA,FW,Real Madrid,es La Liga,22,2001,34,28,2380,26.4,10,5,15
2263,Mads Roerslev,dk DEN,DF,Brentford,eng Premier League,24,1999,34,22,1985,22.1,1,2,3
2264,Rogerio,br BRA,DF,Wolfsburg,de Bundesliga,25,1998,13,10,906,10.1,1,0,1
2265,Morgan Rogers,eng ENG,"MF,FW",Aston Villa,eng Premier League,21,2002,11,8,638,7.1,3,1,4
2266,Merlin Rohl,de GER,"MF,FW",Freiburg,de Bundesliga,21,2002,24,17,1477,16.4,2,4,6
2267,Alessio Romagnoli,it ITA,DF,Lazio,it Serie A,28,1995,29,26,2411,26.8,0,0,0
2268,Simone Romagnoli,it ITA,DF,Frosinone,it Serie A,33,1990,33,30,2715,30.2,1,1,2
2269,Carlos Romero,es ESP,DF,Villarreal,es La Liga,21,2001,7,2,262,2.9,0,0,0
2270,Cristian Romero,ar ARG,DF,Tottenham,eng Premier League,25,1998,33,33,2790,31,5,0,5
2271,Luka Romero,ar ARG,"FW,MF",Milan,it Serie A,18,2004,4,0,88,1,0,0,0
2272,Luka Romero,ar ARG,FW,Almeria,es La Liga,18,2004,13,5,438,4.9,3,0,3
2273,Oriol Romeu,es ESP,MF,Barcelona,es La Liga,31,1991,28,11,936,10.4,0,1,1
2274,Valentin Rongier,fr FRA,MF,Marseille,fr Ligue 1,28,1994,10,10,851,9.5,0,0,0
2275,Frank Ronstadt,de GER,"DF,MF",Darmstadt 98,de Bundesliga,26,1997,4,0,76,0.8,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2276,Marten de Roon,nl NED,"MF,DF",Atalanta,it Serie A,32,1991,30,29,2599,28.9,0,5,5
2277,Unai Ropero,es ESP,MF,Alaves,es La Liga,21,2001,1,0,5,0.1,0,0,0
2278,Vitor Roque,br BRA,FW,Barcelona,es La Liga,18,2005,14,2,328,3.6,2,0,2
2279,Pablo Rosario,nl NED,"MF,DF",Nice,fr Ligue 1,26,1997,30,21,2009,22.3,0,0,0
2280,Valentin Rosier,fr FRA,"DF,MF",Nice,fr Ligue 1,26,1996,3,0,53,0.6,0,0,0
2281,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,32,1991,1,0,5,0.1,0,0,0
2282,Joe Rothwell,eng ENG,MF,Bournemouth,eng Premier League,28,1995,11,3,386,4.3,0,0,0
2283,Anthony Rouault,fr FRA,DF,Stuttgart,de Bundesliga,22,2001,22,11,1010,11.2,0,2,2
2284,Jerome Roussillon,fr FRA,DF,Union Berlin,de Bundesliga,30,1993,23,8,752,8.4,0,1,1
2285,Nicolo Rovella,it ITA,MF,Lazio,it Serie A,21,2001,23,16,1318,14.6,0,2,2
2286,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,29,1994,30,30,2600,28.9,3,0,3
2287,Ruan,br BRA,DF,Sassuolo,it Serie A,24,1999,26,16,1516,16.8,0,0,0
2288,Pelly Ruddock Mpanzu,cd COD,MF,Luton Town,eng Premier League,30,1993,27,11,1101,12.2,0,0,0
2289,Antonio Rudiger,de GER,DF,Real Madrid,es La Liga,30,1993,33,30,2709,30.1,1,0,1
2290,Fabian Rudlin,de GER,MF,Freiburg,de Bundesliga,26,1997,1,0,7,0.1,0,0,0
2291,Javier Rueda Garcia,es ESP,"MF,DF",Celta Vigo,es La Liga,21,2002,1,0,20,0.2,0,0,0
2292,Daniele Rugani,it ITA,DF,Juventus,it Serie A,29,1994,17,13,1187,13.2,2,0,2
2293,Matteo Ruggeri,it ITA,DF,Atalanta,it Serie A,21,2002,34,28,2449,27.2,0,4,4
2294,Mario Rui,pt POR,DF,Napoli,it Serie A,32,1991,21,14,1205,13.4,0,2,2
2295,Aitor Ruibal,es ESP,"DF,FW",Betis,es La Liga,27,1996,18,11,1017,11.3,2,1,3
2296,Fabian Ruiz Pena,es ESP,MF,Paris S-G,fr Ligue 1,27,1996,21,14,1197,13.3,1,3,4
2297,Sergio Ruiz,es ESP,MF,Granada,es La Liga,28,1994,35,30,2494,27.7,0,4,4
2298,Julian Ryerson,no NOR,DF,Dortmund,de Bundesliga,25,1997,21,20,1767,19.6,4,1,5
2299,Frederik Rnnow,dk DEN,GK,Union Berlin,de Bundesliga,30,1992,33,33,2970,33,0,0,0
2300,Jose Sa,pt POR,GK,Wolves,eng Premier League,30,1993,35,35,3037,33.7,0,1,1
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2301,Youssouf Sabaly,sn SEN,DF,Betis,es La Liga,30,1993,12,12,1046,11.6,0,1,1
2302,Emmanuel Sabbi,us USA,"FW,MF",Le Havre,fr Ligue 1,25,1997,30,18,1584,17.6,5,1,6
2303,Stefano Sabelli,it ITA,DF,Genoa,it Serie A,30,1993,32,30,2429,27,0,1,1
2304,Marcel Sabitzer,at AUT,MF,Dortmund,de Bundesliga,29,1994,25,23,1961,21.8,4,3,7
2305,Falaye Sacko,ml MLI,DF,Montpellier,fr Ligue 1,28,1995,19,15,1382,15.4,0,1,1
2306,Dominic Sadi,eng ENG,FW,Bournemouth,eng Premier League,19,2003,1,0,1,0,0,0,0
2307,Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,26,1997,26,12,1077,12,3,1,4
2308,Alexis Saelemaekers,be BEL,"FW,MF",Bologna,it Serie A,24,1999,30,21,1887,21,4,2,6
2310,Modibo Sagnan,ml MLI,DF,Montpellier,fr Ligue 1,24,1999,13,12,1054,11.7,2,0,2
2311,Wesley Said,fr FRA,"FW,MF",Lens,fr Ligue 1,28,1995,27,11,1020,11.3,7,1,8
2312,Theo Sainte-Luce,fr FRA,DF,Montpellier,fr Ligue 1,24,1998,6,3,346,3.8,0,0,0
2313,Bukayo Saka,eng ENG,FW,Arsenal,eng Premier League,21,2001,35,35,2919,32.4,16,9,25
2314,Mamadou Sakho,fr FRA,DF,Montpellier,fr Ligue 1,33,1990,1,0,7,0.1,0,0,0
2315,Ibrahim Salah,ma MAR,"FW,MF",Rennes,fr Ligue 1,21,2001,23,4,524,5.8,4,1,5
2316,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,31,1992,32,28,2534,28.2,18,10,28
2317,Amine Salama,fr FRA,FW,Reims,fr Ligue 1,23,2000,11,2,313,3.5,0,0,0
2318,Kike Salas,es ESP,DF,Sevilla,es La Liga,21,2002,23,19,1605,17.8,3,0,3
2319,William Saliba,fr FRA,DF,Arsenal,eng Premier League,22,2001,38,38,3420,38,2,1,3
2320,Mohammed Salisu,gh GHA,DF,Monaco,fr Ligue 1,24,1999,12,11,1035,11.5,0,1,1
2321,Roland Sallai,hu HUN,"MF,FW",Freiburg,de Bundesliga,26,1997,27,22,1840,20.4,3,2,5
2322,Yoann Salmier,gf GUF,DF,Le Havre,fr Ligue 1,30,1992,20,18,1568,17.4,1,1,2
2323,Salvi,es ESP,MF,Rayo Vallecano,es La Liga,32,1991,1,0,28,0.3,0,0,0
2324,Lazar Samardzic,rs SRB,MF,Udinese,it Serie A,21,2002,34,28,2372,26.4,6,2,8
2325,Diadie Samassekou,ml MLI,MF,Cadiz,es La Liga,27,1996,4,0,92,1,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2326,Diadie Samassekou,ml MLI,MF,Hoffenheim,de Bundesliga,27,1996,1,0,1,0,0,0,0
2327,Mama Samba Balde,gw GNB,"FW,MF",Lyon,fr Ligue 1,27,1995,20,4,551,6.1,2,3,5
2328,Brice Samba,fr FRA,GK,Lens,fr Ligue 1,29,1994,33,33,2970,33,0,0,0
2329,Albert Sambi Lokonga,be BEL,MF,Luton Town,eng Premier League,23,1999,17,16,1303,14.5,1,3,4
2330,Junior Sambia,fr FRA,"DF,MF",Salernitana,it Serie A,26,1996,18,10,1032,11.5,1,2,3
2331,Fede San Emeterio,es ESP,MF,Cadiz,es La Liga,26,1997,4,3,152,1.7,1,0,1
2332,Antonio Sanabria,py PAR,"FW,MF",Torino,it Serie A,27,1996,35,23,2133,23.7,5,0,5
2333,Oihan Sancet,es ESP,MF,Athletic Club,es La Liga,23,2000,30,25,1975,21.9,4,5,9
2334,Renato Sanches,pt POR,MF,Roma,it Serie A,25,1997,7,1,146,1.6,1,0,1
2335,Ricard Sanchez,es ESP,DF,Granada,es La Liga,23,2000,33,25,2295,25.5,3,0,3
2336,Alexis Sanchez,cl CHI,"FW,MF",Inter,it Serie A,34,1988,23,6,763,8.5,2,5,7
2337,Antonio Sanchez,es ESP,MF,Mallorca,es La Liga,26,1997,29,21,1452,16.1,3,1,4
2338,Davinson Sanchez,co COL,DF,Tottenham,eng Premier League,27,1996,1,0,77,0.9,0,0,0
2339,Juanlu Sanchez,es ESP,DF,Sevilla,es La Liga,19,2003,26,11,1181,13.1,0,2,2
2340,Manu Sanchez,es ESP,"DF,MF",Celta Vigo,es La Liga,22,2000,26,20,1775,19.7,0,5,5
2341,Robert Sanchez,es ESP,GK,Chelsea,eng Premier League,25,1997,16,16,1433,15.9,0,0,0
2342,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,eng Premier League,23,2000,3,0,79,0.9,0,0,0
2343,Jadon Sancho,eng ENG,"FW,MF",Dortmund,de Bundesliga,23,2000,14,11,947,10.5,2,2,4
2344,Alex Sandro,br BRA,DF,Juventus,it Serie A,32,1991,16,8,721,8,1,0,1
2345,Ibou Sane,sn SEN,"MF,FW",Metz,fr Ligue 1,18,2005,9,0,128,1.4,1,0,1
2346,Leroy Sane,de GER,FW,Bayern Munich,de Bundesliga,27,1996,27,25,2137,23.7,8,11,19
2347,Sadibou Sane,sn SEN,DF,Metz,fr Ligue 1,19,2004,14,9,846,9.4,0,0,0
2348,Arouna Sangante,sn SEN,DF,Le Havre,fr Ligue 1,21,2002,30,30,2687,29.9,0,0,0
2349,Ibrahim Sangare,ci CIV,MF,Nott'ham Forest,eng Premier League,25,1997,17,13,1035,11.5,0,0,0
2350,Morgan Sanson,fr FRA,MF,Nice,fr Ligue 1,28,1994,29,24,1964,21.8,2,3,5
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2351,Nicola Sansone,it ITA,"FW,MF",Lecce,it Serie A,31,1991,25,4,767,8.5,2,2,4
2352,Baptiste Santamaria,fr FRA,MF,Rennes,fr Ligue 1,28,1995,30,22,1926,21.4,0,1,1
2353,Jesus Santiago,es ESP,MF,Getafe,es La Liga,19,2004,14,8,656,7.3,1,0,1
2354,Andrey Santos,br BRA,MF,Nott'ham Forest,eng Premier League,19,2004,1,0,8,0.1,0,0,0
2355,Andrey Santos,br BRA,MF,Strasbourg,fr Ligue 1,19,2004,11,9,831,9.2,1,0,1
2356,Tiago Santos,pt POR,DF,Lille,fr Ligue 1,21,2002,29,26,2365,26.3,1,2,3
2357,Paco Sanz,es ESP,DF,Almeria,es La Liga,18,2004,1,0,24,0.3,0,0,0
2358,Riccardo Saponara,it ITA,"FW,MF",Hellas Verona,it Serie A,31,1991,12,3,342,3.8,0,0,0
2359,Pablo Sarabia,es ESP,"MF,FW",Wolves,eng Premier League,31,1992,30,20,1745,19.4,4,7,11
2360,Amin Sarr,se SWE,"FW,MF",Lyon,fr Ligue 1,22,2001,3,1,98,1.1,0,0,0
2361,Amin Sarr,se SWE,"FW,MF",Wolfsburg,de Bundesliga,22,2001,14,2,386,4.3,0,0,0
2362,Bouna Sarr,sn SEN,DF,Bayern Munich,de Bundesliga,31,1992,2,1,106,1.2,0,0,0
2363,Ismaila Sarr,sn SEN,"FW,MF",Marseille,fr Ligue 1,25,1998,23,15,1447,16.1,3,4,7
2364,Mamadou Sarr,fr FRA,DF,Lyon,fr Ligue 1,17,2005,1,0,8,0.1,0,0,0
2365,Martin Satriano,uy URU,FW,Brest,fr Ligue 1,22,2001,33,21,1864,20.7,4,4,8
2366,Teji Savanier,fr FRA,MF,Montpellier,fr Ligue 1,31,1991,32,32,2765,30.7,9,6,15
2367,Stefan Savic,me MNE,DF,Atletico Madrid,es La Liga,32,1991,23,19,1630,18.1,0,0,0
2368,Savio,br BRA,"FW,MF",Girona,es La Liga,19,2004,37,35,2976,33.1,9,10,19
2369,Zanos Savva,cy CYP,"DF,MF",Torino,it Serie A,17,2005,2,0,28,0.3,1,0,1
2370,Saba Sazonov,ge GEO,DF,Torino,it Serie A,21,2002,12,2,356,4,0,0,0
2371,Joe Scally,us USA,DF,Gladbach,de Bundesliga,20,2002,31,25,2236,24.8,1,4,5
2372,Giorgio Scalvini,it ITA,DF,Atalanta,it Serie A,19,2003,33,31,2544,28.3,1,3,4
2373,Gianluca Scamacca,it ITA,FW,Atalanta,it Serie A,24,1999,29,17,1453,16.1,12,6,18
2374,Dane Scarlett,eng ENG,FW,Tottenham,eng Premier League,19,2004,4,0,22,0.2,0,0,0
2375,Kevin Schade,de GER,"FW,MF",Brentford,eng Premier League,21,2001,11,3,333,3.7,2,1,3
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2376,Andras Schafer,hu HUN,MF,Union Berlin,de Bundesliga,24,1999,20,14,1214,13.5,1,2,3
2377,Fabian Schar,ch SUI,DF,Newcastle Utd,eng Premier League,31,1991,36,35,3054,33.9,4,1,5
2378,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,27,1996,20,12,1063,11.8,7,0,7
2379,Stefan Schimmer,de GER,"MF,FW",Heidenheim,de Bundesliga,29,1994,16,0,153,1.7,0,1,1
2380,Xaver Schlager,at AUT,MF,RB Leipzig,de Bundesliga,25,1997,29,29,2477,27.5,0,5,5
2381,Keven Schlotterbeck,de GER,DF,Bochum,de Bundesliga,26,1997,27,24,2185,24.3,5,1,6
2382,Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,23,1999,33,32,2859,31.8,2,1,3
2383,Jeffrey Schlupp,gh GHA,"FW,MF",Crystal Palace,eng Premier League,30,1992,29,17,1352,15,2,2,4
2384,Romano Schmid,at AUT,"MF,FW",Werder Bremen,de Bundesliga,23,2000,33,30,2601,28.9,4,6,10
2385,Kenneth Schmidt,de GER,DF,Freiburg,de Bundesliga,21,2002,5,0,68,0.8,0,0,0
2386,Niklas Schmidt,de GER,MF,Toulouse,fr Ligue 1,25,1998,22,15,1269,14.1,1,1,2
2387,Benno Schmitz,de GER,DF,Koln,de Bundesliga,28,1994,22,13,1155,12.8,0,1,1
2388,Fabian Schnellhardt,de GER,MF,Darmstadt 98,de Bundesliga,29,1994,10,2,235,2.6,0,0,0
2389,Jan Schoppner,de GER,MF,Heidenheim,de Bundesliga,24,1999,26,23,1998,22.2,2,2,4
2390,Marcel Schuhen,de GER,GK,Darmstadt 98,de Bundesliga,30,1993,31,31,2790,31,0,0,0
2391,Perr Schuurs,nl NED,DF,Torino,it Serie A,23,1999,9,9,770,8.6,1,0,1
2392,Marvin Schwabe,de GER,GK,Koln,de Bundesliga,28,1995,34,34,3060,34,0,0,0
2393,Alexander Schwolow,de GER,GK,Union Berlin,de Bundesliga,31,1992,1,1,90,1,0,0,0
2394,Alex Scott,eng ENG,MF,Bournemouth,eng Premier League,19,2003,23,11,1014,11.3,1,1,2
2395,Simone Scuffet,it ITA,GK,Cagliari,it Serie A,27,1996,31,31,2789,31,0,0,0
2396,Jeremy Sebas,mq MTQ,"FW,MF",Strasbourg,fr Ligue 1,20,2003,14,2,399,4.4,2,0,2
2397,Manuel Sebastian,es ESP,MF,Sevilla,es La Liga,19,2004,4,1,117,1.3,0,0,0
2398,Demba Seck,sn SEN,MF,Torino,it Serie A,22,2001,9,5,425,4.7,0,0,0
2399,Demba Seck,sn SEN,"FW,MF",Frosinone,it Serie A,22,2001,11,3,298,3.3,0,0,0
2400,Aleksandar Sedlar,rs SRB,DF,Alaves,es La Liga,31,1991,11,11,946,10.5,1,0,1
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
2401,Alidu Seidu,gh GHA,DF,Rennes,fr Ligue 1,23,2000,11,7,593,6.6,0,0,0
2402,Alidu Seidu,gh GHA,DF,Clermont Foot,fr Ligue 1,23,2000,14,13,1131,12.6,0,1,1
2403,Nicolas Seiwald,at AUT,MF,RB Leipzig,de Bundesliga,22,2001,21,6,718,8,0,2,2
2404,Nikola Sekulov,it ITA,FW,Juventus,it Serie A,21,2002,1,0,11,0.1,0,0,0
2405,Davie Selke,de GER,FW,Koln,de Bundesliga,28,1995,19,16,1265,14.1,6,0,6
2406,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,31,1992,16,16,1440,16,0,0,0
2407,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,31,1992,19,19,1710,19,0,0,0
2408,Nelson Semedo,pt POR,"DF,MF",Wolves,eng Premier League,29,1993,36,36,3084,34.3,0,1,1
2409,Vivaldo Semedo,pt POR,FW,Udinese,it Serie A,18,2005,1,0,12,0.1,0,0,0
