Rank,Player,Nation,Position,Squad,Competition,Age,Year_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A
1013,Kaide Gordon,eng ENG,FW,Liverpool,eng Premier League,18,2004,1,0,1,0,0,0,0
1014,Daniel Gore,eng ENG,MF,Manchester Utd,eng Premier League,18,2004,1,0,1,0,0,0,0
1015,Leon Goretzka,de GER,MF,Bayern Munich,de Bundesliga,28,1995,30,25,2241,24.9,6,7,13
1016,Mathieu Gorgelin,fr FRA,GK,Le Havre,fr Ligue 1,32,1990,1,1,90,1,0,0,0
1017,Andoni Gorosabel,es ESP,DF,Alaves,es La Liga,26,1996,36,33,2854,31.7,1,0,1
1018,Robin Gosens,de GER,"DF,MF",Union Berlin,de Bundesliga,29,1994,30,27,2283,25.4,6,3,9
1019,Mario Gotze,de GER,MF,Eint Frankfurt,de Bundesliga,31,1992,30,23,2068,23,3,2,5
1020,Amine Gouiri,dz ALG,"FW,MF",Rennes,fr Ligue 1,23,2000,31,24,2067,23,7,3,10
1021,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,de Bundesliga,32,1991,30,29,2593,28.8,1,0,1
1022,Pablo Gozalbez,es ESP,"MF,FW",Valencia,es La Liga,22,2001,5,1,103,1.1,0,0,0
1023,Jonathan Gradit,fr FRA,DF,Lens,fr Ligue 1,30,1992,26,26,2112,23.5,1,0,1
1024,Jens Grahl,de GER,GK,Eint Frankfurt,de Bundesliga,34,1988,2,2,180,2,0,1,1
1025,Samuel Grandsir,fr FRA,"MF,FW",Le Havre,fr Ligue 1,26,1996,23,4,606,6.7,1,1,2
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1026,Alberto Grassi,it ITA,MF,Empoli,it Serie A,28,1995,27,22,1807,20.1,0,1,1
1027,Ryan Gravenberch,nl NED,MF,Liverpool,eng Premier League,21,2002,26,12,1121,12.5,1,0,1
1028,Ryan Gravenberch,nl NED,FW,Bayern Munich,de Bundesliga,21,2002,1,0,10,0.1,0,0,0
1029,Adrian Grbic,at AUT,FW,Lorient,fr Ligue 1,26,1996,1,0,31,0.3,0,0,0
1030,Ivo Grbic,hr CRO,GK,Sheffield Utd,eng Premier League,27,1996,9,9,771,8.6,0,0,0
1031,Jack Grealish,eng ENG,"FW,MF",Manchester City,eng Premier League,27,1995,20,10,1009,11.2,3,1,4
1032,Mason Greenwood,eng ENG,"MF,FW",Getafe,es La Liga,21,2001,33,30,2662,29.6,8,6,14
1033,Michael Gregoritsch,at AUT,FW,Freiburg,de Bundesliga,29,1994,32,19,1682,18.7,7,4,11
1034,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,26,1997,1,1,90,1,0,0,0
1035,Antoine Griezmann,fr FRA,"FW,MF",Atletico Madrid,es La Liga,32,1991,33,31,2644,29.4,16,6,22
1036,Vincenzo Grifo,it ITA,"MF,FW",Freiburg,de Bundesliga,30,1993,32,29,2325,25.8,8,8,16
1037,Florian Grillitsch,at AUT,"DF,MF",Hoffenheim,de Bundesliga,27,1995,30,25,2295,25.5,1,6,7
1038,Alex Grimaldo,es ESP,DF,Leverkusen,de Bundesliga,27,1995,33,31,2784,30.9,10,13,23
1039,Christian Gro,de GER,"DF,MF",Werder Bremen,de Bundesliga,34,1989,20,8,797,8.9,0,1,1
1040,Pascal Gro,de GER,"MF,DF",Brighton,eng Premier League,32,1991,36,34,3114,34.6,4,10,14
1041,Brajan Gruda,de GER,"MF,FW",Mainz 05,de Bundesliga,19,2004,28,19,1641,18.2,4,3,7
1042,Ilia Gruev,bg BUL,MF,Werder Bremen,de Bundesliga,23,2000,1,0,4,0,0,0,0
1043,Vicente Guaita,es ESP,GK,Celta Vigo,es La Liga,36,1987,27,26,2403,26.7,0,0,0
1044,Andres Guardado,mx MEX,MF,Betis,es La Liga,36,1986,12,4,447,5,0,0,0
1045,Sergi Guardiola,es ESP,"FW,MF",Cadiz,es La Liga,32,1991,22,1,495,5.5,1,1,2
1046,Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,es La Liga,31,1991,22,20,1742,19.4,1,1,2
1047,Gabriel Gudmundsson,se SWE,"DF,FW",Lille,fr Ligue 1,24,1999,25,14,1267,14.1,1,0,1
1048,Goncalo Guedes,pt POR,"FW,MF",Villarreal,es La Liga,26,1996,17,9,951,10.6,3,2,5
1049,Axel Gueguin,fr FRA,"DF,FW",Montpellier,fr Ligue 1,18,2005,3,1,132,1.5,0,0,0
1050,Marc Guehi,eng ENG,DF,Crystal Palace,eng Premier League,23,2000,25,23,2021,22.5,0,1,1
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1051,Matteo Guendouzi,fr FRA,MF,Lazio,it Serie A,24,1999,33,27,2367,26.3,2,3,5
1052,Matteo Guendouzi,fr FRA,MF,Marseille,fr Ligue 1,24,1999,2,0,19,0.2,0,0,0
1053,Javier Guerra,es ESP,MF,Valencia,es La Liga,20,2003,36,28,2498,27.8,4,1,5
1054,Raphael Guerreiro,pt POR,"DF,MF",Bayern Munich,de Bundesliga,29,1993,20,13,1191,13.2,3,0,3
1055,Axel Guessand,fr FRA,DF,Udinese,it Serie A,18,2004,1,0,45,0.5,0,0,0
1056,Evann Guessand,ci CIV,FW,Nice,fr Ligue 1,22,2001,34,14,1553,17.3,6,0,6
1057,Ander Guevara,es ESP,MF,Alaves,es La Liga,26,1997,37,33,2932,32.6,1,0,1
1058,Pape Gueye,sn SEN,"MF,DF",Marseille,fr Ligue 1,24,1999,15,9,765,8.5,1,0,1
1059,Josuha Guilavogui,fr FRA,DF,Mainz 05,de Bundesliga,32,1990,11,5,409,4.5,0,1,1
1060,Morgan Guilavogui,gn GUI,"FW,MF",Lens,fr Ligue 1,25,1998,23,2,566,6.3,2,0,2
1061,Frederic Guilbert,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,28,1994,32,29,2490,27.7,2,0,2
1062,Hugo Guillamon,es ESP,MF,Valencia,es La Liga,23,2000,26,12,1315,14.6,1,0,1
1063,Bruno Guimaraes,br BRA,MF,Newcastle Utd,eng Premier League,25,1997,37,37,3263,36.3,7,8,15
1064,Serhou Guirassy,gn GUI,FW,Stuttgart,de Bundesliga,27,1996,28,25,2208,24.5,28,3,31
1065,Marc Guiu,es ESP,"FW,MF",Barcelona,es La Liga,17,2006,3,1,74,0.8,1,0,1
1066,Peter Gulacsi,hu HUN,GK,RB Leipzig,de Bundesliga,33,1990,13,13,1170,13,0,0,0
1067,Manuel Gulde,de GER,DF,Freiburg,de Bundesliga,32,1991,27,23,2047,22.7,1,0,1
1068,Arda Guler,tr TUR,"FW,MF",Real Madrid,es La Liga,18,2005,10,4,377,4.2,6,0,6
1069,Gerard Gumbau,es ESP,MF,Granada,es La Liga,28,1994,35,31,2674,29.7,0,3,3
1070,Robert Gumny,pl POL,DF,Augsburg,de Bundesliga,25,1998,13,6,481,5.3,0,0,0
1071,Ilkay Gundogan,de GER,MF,Barcelona,es La Liga,32,1990,36,33,2994,33.3,5,9,14
1072,Christian Gunter,de GER,DF,Freiburg,de Bundesliga,30,1993,15,13,1060,11.8,1,2,3
1073,Jon Guridi,es ESP,MF,Alaves,es La Liga,28,1995,36,34,2678,29.8,3,4,7
1074,Gorka Guruzeta,es ESP,FW,Athletic Club,es La Liga,26,1996,32,30,2217,24.6,14,5,19
1075,Malo Gusto,fr FRA,DF,Chelsea,eng Premier League,20,2003,27,19,1751,19.5,0,6,6
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1076,Miguel Gutierrez,es ESP,DF,Girona,es La Liga,22,2001,35,35,3032,33.7,2,7,9
1077,Albert Gumundsson,is ISL,"FW,MF",Genoa,it Serie A,26,1997,35,34,3016,33.5,14,4,18
1078,Josko Gvardiol,hr CRO,DF,Manchester City,eng Premier League,21,2002,28,26,2328,25.9,4,1,5
1079,Emmanuel Gyasi,gh GHA,"DF,FW",Empoli,it Serie A,29,1994,33,21,1879,20.9,1,2,3
1080,Norbert Gyomber,sk SVK,DF,Salernitana,it Serie A,31,1992,22,20,1760,19.6,0,0,0
